ID,Name,Team,Pos,Role/Order,DH,Age,Arch,Trait1,Trait2,Trait3,TraitCount,Contact,Con.Timing,Con.Barrel,Power,Pow.Str,Pow.BatSpd,Pow.Elev,Disc,Disc.Eye,Disc.Restr,Speed,Spd.Sprint,Spd.Inst,Defense,def.Range,def.reaction,def.glove,def.ArmStr,def.ArmAcc,Max Stam,Cur Stam,Velo,Vel.ArmSpd,Vel.Decept,Control,Ctrl.Acc,Ctrl.Cmd,Move,Mov.Spin,Mov.Bite,Cur Hit Strk,Max Hit Strk,Cur OBP Strk,Max OBP Strk,Cur Scoreless Outs,Max Scoreless Outs,Recent Form
2.026E+11,Kevin Lee,DiamondBucs,P,SU,No,30,Gagne,Pitch to Contact,-,-,1,15,15,15,15,15,15,15,15,15,15,15,16,15,51,50,50,50,60,50,30,30,80,82,79,74,75,73,78,83,74,0,0,0,0,0,0,
2.026E+11,Hank Harris,DiamondBucs,P,SU,No,28,Rivera,Pitch to Contact,-,-,1,15,15,15,15,15,15,15,15,15,15,15,16,15,51,50,50,50,60,50,22,22,78,81,75,85,86,85,91,90,93,0,0,0,0,0,0,
2.026E+11,Robert Lopez,DiamondBucs,P,LR,No,38,Hader,-,-,-,0,15,15,15,15,15,15,15,15,15,15,18,22,15,51,50,50,50,60,50,45,45,87,92,82,58,58,58,80,89,71,0,0,0,0,0,0,
2.026E+11,Andrew Garcia,DiamondBucs,P,LR,No,26,Fingers,Rubber Arm,-,-,1,15,15,15,15,15,15,15,15,15,15,21,28,15,51,50,50,50,60,50,50,50,73,73,74,82,80,84,78,81,75,0,0,0,0,0,0,
2.026E+11,Matthew Gwynn,DiamondBucs,P,MR,No,21,Hader,-,-,-,0,15,15,15,15,15,15,15,15,15,15,14,13,15,51,50,50,50,60,50,52,52,87,93,82,70,63,78,74,83,65,0,0,0,0,0,0,
2.026E+11,Ryan Johnson,DiamondBucs,P,MR,No,23,Fingers,Putaway Pitcher,Groundball Guru,-,2,15,15,15,15,15,15,15,15,15,15,12,10,15,51,50,50,50,60,50,43,43,68,67,70,80,82,78,83,80,86,0,0,0,0,0,0,
2.026E+11,Jim Hernandez,DiamondBucs,P,MR,No,19,Fingers,Putaway Pitcher,-,-,1,15,15,15,15,15,15,15,15,15,15,13,11,15,51,50,50,50,60,50,46,46,72,76,69,85,82,89,82,86,78,0,0,0,0,0,0,
2.026E+11,Cy Gehrig,DiamondBucs,CF,Minors,No,19,Griffey,Unfazed,-,-,1,52,46,59,57,62,63,47,46,46,47,55,57,54,56,57,67,49,62,66,69,69,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Lou Brown,DiamondBucs,RF,Minors,No,19,Gwynn,Platoon Punisher,Launch Angle God,-,2,64,63,66,45,45,45,45,66,66,66,45,45,45,48,41,45,58,45,48,80,80,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Ryan Gehrig,DiamondBucs,SS,Minors,No,21,Zobrist,Table Setter,-,-,1,58,61,55,59,62,66,51,53,52,54,47,45,50,53,47,45,65,45,53,75,75,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Joshua Gwynn,DiamondBucs,3B,Minors,No,24,Schmidt,-,-,-,0,52,46,58,65,73,65,58,62,70,55,45,45,45,58,45,56,64,70,60,75,75,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Ty Clark,DiamondBucs,CF,Minors,Yes,23,Mays,-,-,-,0,61,52,71,61,62,56,65,53,53,54,63,66,60,65,66,60,65,64,65,75,75,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Brian Martinez,DiamondBucs,2B,Minors,No,20,Alomar,-,-,-,0,55,57,54,48,45,54,45,61,61,61,51,52,51,57,49,62,63,59,61,81,81,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Kyle Lewis,DiamondBucs,2B,Minors,No,20,Zobrist,Launch Angle God,-,-,1,49,50,49,53,56,58,47,65,65,65,50,50,51,47,51,55,45,47,45,80,80,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Kevin Garcia,DiamondBucs,1B,Minors,No,22,Pujols,-,-,-,0,57,60,55,70,67,73,72,53,58,48,45,45,45,49,40,45,59,49,51,77,77,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Steven Harris,DiamondBucs,LF,Minors,No,18,Williams,-,-,-,0,69,67,71,61,55,65,65,67,73,62,45,45,45,44,41,45,45,45,49,66,66,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Joseph Davis,DiamondBucs,RF,Minors,No,26,Dunn,Platoon Punisher,-,-,1,48,45,51,65,75,56,66,60,62,59,45,45,45,44,42,45,45,45,45,93,93,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Anthony Thompson,DiamondBucs,1B,Minors,No,24,Gehrig,Unfazed,-,-,1,61,65,58,58,56,51,69,61,55,68,45,45,45,47,42,45,50,56,45,81,81,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Brandon Hernandez,DiamondBucs,LF,Minors,No,18,Williams,Speed Demon,Clutch,-,2,53,53,54,69,70,62,75,65,62,68,45,45,45,44,42,45,45,45,45,69,69,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Brian Lee,DiamondBucs,C,Minors,No,18,Zobrist,-,-,-,0,55,57,53,54,54,59,50,60,61,60,51,55,48,49,50,46,48,46,53,66,66,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Steven Miller,DiamondBucs,P,Minors,No,21,Lincecum,Groundball Guru,-,-,1,15,15,15,15,15,15,15,15,15,15,15,15,15,51,50,50,50,60,50,78,78,62,65,60,47,45,49,70,76,65,0,0,0,0,0,0,
2.026E+11,Steven Ripken,DiamondBucs,P,Minors,No,19,Gibson,Marathon Man,Rubber Arm,-,2,15,15,15,15,15,15,15,15,15,15,18,21,15,51,50,50,50,60,50,95,95,52,53,52,68,71,65,54,54,55,0,0,0,0,0,0,
2.026E+11,Jim Moore,DiamondBucs,P,Minors,No,28,Gibson,-,-,-,0,15,15,15,15,15,15,15,15,15,15,13,12,15,51,50,50,50,60,50,95,95,62,62,63,58,69,47,57,52,62,0,0,0,0,0,0,
2.026E+11,Tyler Martinez,DiamondBucs,P,Minors,No,22,Wakefield,Rubber Arm,-,-,1,15,15,15,15,15,15,15,15,15,15,17,20,15,51,50,50,50,60,50,95,95,45,45,45,51,54,48,58,45,72,0,0,0,0,0,0,
2.026E+11,Ryan Clark,DiamondBucs,P,Minors,No,25,Pedro,-,-,-,0,15,15,15,15,15,15,15,15,15,15,16,18,15,51,50,50,50,60,50,80,80,57,61,53,53,62,45,58,63,53,0,0,0,0,0,0,
2.026E+11,Stan Miller,DiamondBucs,P,Minors,No,21,Rivera,Rubber Arm,-,-,1,15,15,15,15,15,15,15,15,15,15,13,11,15,51,50,50,50,60,50,20,20,49,45,53,63,64,62,61,57,66,0,0,0,0,0,0,
2.026E+11,Jacob Taylor,DiamondBucs,P,Minors,No,25,Gagne,-,-,-,0,15,15,15,15,15,15,15,15,15,15,17,20,15,51,50,50,50,60,50,28,28,59,59,59,56,57,56,62,59,66,0,0,0,0,0,0,
2.026E+11,Christopher Hernandez,DiamondBucs,P,Minors,No,22,Gagne,-,-,-,0,15,15,15,15,15,15,15,15,15,15,18,21,15,51,50,50,50,60,50,21,21,54,55,53,50,48,52,59,56,62,0,0,0,0,0,0,
2.026E+11,Andrew Johnson,DiamondBucs,P,Minors,No,24,Fingers,-,-,-,0,15,15,15,15,15,15,15,15,15,15,20,26,15,51,50,50,50,60,50,43,43,51,52,51,60,61,59,68,61,75,0,0,0,0,0,0,
2.026E+11,Matthew Lewis,DiamondBucs,P,Minors,No,19,Fingers,Rubber Arm,-,-,1,15,15,15,15,15,15,15,15,15,15,21,27,15,51,50,50,50,60,50,45,45,51,52,51,58,57,60,60,64,57,0,0,0,0,0,0,
2.026E+11,Jim Lewis,DiamondBucs,P,Minors,No,20,Miller,Putaway Pitcher,-,-,1,15,15,15,15,15,15,15,15,15,15,22,30,15,51,50,50,50,60,50,59,59,63,65,62,51,49,53,60,52,68,0,0,0,0,0,0,
2.026E+11,Lou White,DiamondBucs,P,Minors,No,18,Fingers,-,-,-,0,15,15,15,15,15,15,15,15,15,15,22,30,15,51,50,50,50,60,50,44,44,55,50,60,66,65,68,62,60,65,0,0,0,0,0,0,
2.026E+11,Ty Taylor,DiamondBucs,P,Minors,No,26,Fingers,Groundball Guru,-,-,1,15,15,15,15,15,15,15,15,15,15,22,29,15,51,50,50,50,60,50,51,51,57,62,52,68,63,73,54,59,49,0,0,0,0,0,0,
2.026E+11,Kyle Ramirez,Minutemen,RF,6,No,32,Ruth,Launch Angle God,Speed Demon,-,2,81,78,85,84,97,82,75,84,86,83,45,45,45,52,47,52,45,70,62,63,63,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Tyler Perez,Minutemen,1B,3,No,23,Pujols,Table Setter,-,-,1,83,81,85,85,94,75,86,80,88,72,45,45,45,63,40,62,84,63,70,70,70,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Joshua Jones,Minutemen,CF,1,No,24,Ichiro,-,-,-,0,84,81,87,45,47,45,45,73,67,79,82,91,74,86,92,81,81,83,88,72,72,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Jackie Aaron,Minutemen,CF,8,Yes,24,Lofton,-,-,-,0,80,86,75,64,68,68,56,72,76,69,91,89,93,76,88,85,82,57,64,66,66,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Michael Griffey,Minutemen,2B,2,No,28,Dunn,-,-,-,0,66,59,74,89,99,74,96,81,87,76,45,45,45,49,52,45,50,45,50,74,74,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Brandon Miller,Minutemen,C,4,No,24,Bench,Clutch,Speed Demon,-,2,63,62,65,84,85,77,90,71,65,77,46,45,48,70,42,62,80,88,88,69,69,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Daniel Anderson,Minutemen,1B,Bench,No,22,Dunn,First Pitch Killer,-,-,1,57,46,68,86,99,76,83,86,88,85,45,45,45,45,40,50,45,47,54,67,67,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Cy Anderson,Minutemen,LF,5,No,22,Dunn,-,-,-,0,59,53,66,90,99,76,95,81,77,85,45,45,45,47,43,45,52,48,45,70,70,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,William Wilson,Minutemen,SS,9,No,21,Jeter,First Pitch Killer,-,-,1,83,89,77,62,60,75,52,73,77,70,70,61,80,72,56,51,85,71,82,66,66,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Mark Gehrig,Minutemen,C,Bench,No,26,Molina,-,-,-,0,67,65,69,57,60,59,54,61,62,60,45,45,45,75,46,77,83,96,97,71,71,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Nolan Ripken,Minutemen,3B,7,No,23,Zobrist,Speed Demon,Launch Angle God,-,2,72,80,64,70,72,72,67,82,80,85,73,77,69,77,79,59,80,72,77,73,73,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Justin Lopez,Minutemen,LF,Bench,No,29,Bonds,-,-,-,0,78,75,82,92,99,92,86,87,88,86,78,69,87,72,70,66,75,69,78,79,79,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Nicholas Gwynn,Minutemen,RF,Bench,No,23,Ichiro,Launch Angle God,-,-,1,83,85,82,48,45,54,45,72,77,67,88,90,86,82,87,79,76,78,92,69,69,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Babe Mantle,Minutemen,P,SP1,No,29,R.Johnson,Ice in the Veins,-,-,1,15,15,15,15,15,15,15,15,15,15,19,23,15,51,50,50,50,60,50,85,85,91,90,92,71,68,74,88,84,93,0,0,0,0,0,0,
2.026E+11,Brian Griffey,Minutemen,P,SP2,No,31,Pedro,-,-,-,0,15,15,15,15,15,15,15,15,15,15,22,30,15,51,50,50,50,60,50,80,80,83,87,79,73,73,74,93,96,91,0,0,0,0,0,0,
2.026E+11,Eric Ruth,Minutemen,P,SP3,No,25,Lincecum,Escape Artist,Ice in the Veins,-,2,15,15,15,15,15,15,15,15,15,15,13,12,15,51,50,50,50,60,50,78,78,88,91,86,61,60,63,86,84,89,0,0,0,0,0,0,
2.026E+11,Jonathan Harris,Minutemen,P,SP4,No,22,Gibson,Pitch to Contact,-,-,1,15,15,15,15,15,15,15,15,15,15,19,23,15,51,50,50,50,60,50,95,95,86,81,91,77,77,77,75,78,73,0,0,0,0,0,0,
2.026E+11,Joseph Walker,Minutemen,P,SP5,No,18,Wakefield,Pitch to Contact,-,-,1,15,15,15,15,15,15,15,15,15,15,15,15,15,51,50,50,50,60,50,95,95,50,45,56,68,62,75,70,45,96,0,0,0,0,0,0,
2.026E+11,Thomas Harris,Minutemen,P,CL,No,33,Rivera,-,-,-,0,15,15,15,15,15,15,15,15,15,15,12,10,15,51,50,50,50,60,50,29,29,80,91,70,93,96,91,92,85,99,0,0,0,0,0,0,
2.026E+11,Daniel Lopez,Minutemen,P,SU,No,23,Rivera,Escape Artist,-,-,1,15,15,15,15,15,15,15,15,15,15,22,30,15,51,50,50,50,60,50,15,15,76,78,75,82,79,85,85,80,90,0,0,0,0,0,0,
2.026E+11,Robert Ryan,Minutemen,P,SU,No,28,Gagne,-,-,-,0,15,15,15,15,15,15,15,15,15,15,21,28,15,51,50,50,50,60,50,25,25,79,86,73,78,80,76,78,79,78,0,0,0,0,0,0,
2.026E+11,Matthew Thompson,Minutemen,P,LR,No,28,Fingers,-,-,-,0,15,15,15,15,15,15,15,15,15,15,14,14,15,51,50,50,50,60,50,42,42,69,63,75,84,89,79,83,82,85,0,0,0,0,0,0,
2.026E+11,James Gonzalez,Minutemen,P,LR,No,34,Fingers,Escape Artist,-,-,1,15,15,15,15,15,15,15,15,15,15,22,30,15,51,50,50,50,60,50,48,48,63,62,65,83,91,75,74,75,74,0,0,0,0,0,0,
2.026E+11,David Gehrig,Minutemen,P,MR,No,25,Hader,-,-,-,0,15,15,15,15,15,15,15,15,15,15,18,22,15,51,50,50,50,60,50,55,55,84,83,86,60,59,62,78,83,73,0,0,0,0,0,0,
2.026E+11,Jim Gonzalez,Minutemen,P,MR,No,27,Hader,-,-,-,0,15,15,15,15,15,15,15,15,15,15,19,24,15,51,50,50,50,60,50,42,42,77,68,86,61,52,71,78,80,76,0,0,0,0,0,0,
2.026E+11,Babe Taylor,Minutemen,P,MR,No,29,Hader,Rubber Arm,-,-,1,15,15,15,15,15,15,15,15,15,15,20,25,15,51,50,50,50,60,50,56,56,86,93,79,68,65,72,81,83,79,0,0,0,0,0,0,
2.026E+11,Stan Anderson,Minutemen,C,Minors,No,21,Bench,-,-,-,0,52,50,54,61,59,57,67,47,45,49,45,45,45,49,41,45,59,46,53,84,84,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,James Gehrig,Minutemen,1B,Minors,No,20,Dunn,-,-,-,0,46,45,47,68,81,57,66,63,67,60,45,45,45,43,40,45,45,45,45,71,71,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Ty Ramirez,Minutemen,1B,Minors,Yes,18,Keith,-,-,-,0,54,53,55,48,45,54,45,54,52,56,45,45,45,56,44,59,68,58,54,85,85,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Zachary Ruth,Minutemen,SS,Minors,No,18,Jeter,-,-,-,0,64,66,62,47,47,51,45,51,53,50,55,55,56,54,52,49,49,59,68,73,73,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Stan Wilson,Minutemen,3B,Minors,No,18,Schmidt,Speed Demon,-,-,1,52,45,59,71,77,70,67,61,63,59,45,45,45,59,44,63,60,74,72,73,73,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Jacob Ripken,Minutemen,LF,Minors,No,19,Rickey,Clutch,-,-,1,52,54,50,46,45,48,45,65,66,65,67,64,70,51,61,46,47,45,45,66,66,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,John White,Minutemen,2B,Minors,No,20,Kent,-,-,-,0,53,48,58,60,62,59,59,52,53,52,45,45,45,50,44,66,51,64,50,75,75,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Steven Miller,Minutemen,RF,Minors,No,20,Ruth,-,-,-,0,57,56,58,67,65,68,69,57,64,50,45,45,45,47,43,45,46,51,54,73,73,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Mickey Martinez,Minutemen,LF,Minors,No,25,Bonds,-,-,-,0,56,62,51,62,58,70,59,69,68,70,51,48,55,46,42,53,45,50,54,71,71,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Christopher Miller,Minutemen,CF,Minors,No,21,Lofton,-,-,-,0,58,62,54,49,45,58,45,53,52,55,66,67,65,58,65,70,63,47,45,71,71,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,James Jones,Minutemen,RF,Minors,No,18,Gwynn,-,-,-,0,66,70,63,46,45,49,45,66,65,68,45,45,45,54,47,45,69,49,46,71,71,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Babe Williams,Minutemen,3B,Minors,No,20,Schmidt,Table Setter,-,-,1,57,49,65,67,68,67,67,67,67,67,46,45,47,56,40,68,66,68,57,72,72,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Jonathan White,Minutemen,SS,Minors,No,22,Zobrist,Gold Glover,-,-,1,50,45,55,53,56,57,46,62,63,61,49,51,48,53,50,56,52,48,67,86,86,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Brandon Lee,Minutemen,P,Minors,No,19,Ryan,-,-,-,0,15,15,15,15,15,15,15,15,15,15,18,22,15,51,50,50,50,60,50,92,92,66,68,65,45,45,45,52,56,49,0,0,0,0,0,0,
2.026E+11,Eric Thompson,Minutemen,P,Minors,No,25,Maddux,-,-,-,0,15,15,15,15,15,15,15,15,15,15,20,26,15,51,50,50,50,60,50,88,88,48,47,49,66,69,64,62,53,72,0,0,0,0,0,0,
2.026E+11,Matthew Williams,Minutemen,P,Minors,No,18,Wakefield,-,-,-,0,15,15,15,15,15,15,15,15,15,15,22,30,15,51,50,50,50,60,50,95,95,45,45,45,51,46,56,60,45,75,0,0,0,0,0,0,
2.026E+11,Thomas Brown,Minutemen,P,Minors,No,21,Lincecum,-,-,-,0,15,15,15,15,15,15,15,15,15,15,22,30,15,51,50,50,50,60,50,78,78,65,69,62,45,45,45,65,58,72,0,0,0,0,0,0,
2.026E+11,Mark Perez,Minutemen,P,Minors,No,19,Gibson,-,-,-,0,15,15,15,15,15,15,15,15,15,15,20,26,15,51,50,50,50,60,50,95,95,66,64,69,53,50,57,52,57,47,0,0,0,0,0,0,
2.026E+11,Jackie White,Minutemen,P,Minors,No,23,Chapman,Lights Out,-,-,1,15,15,15,15,15,15,15,15,15,15,20,26,15,51,50,50,50,60,50,21,21,66,64,69,51,45,57,49,45,53,0,0,0,0,0,0,
2.026E+11,Christopher Hernandez,Minutemen,P,Minors,No,21,Rivera,Escape Artist,-,-,1,15,15,15,15,15,15,15,15,15,15,18,22,15,51,50,50,50,60,50,22,22,57,63,51,67,66,68,66,55,78,0,0,0,0,0,0,
2.026E+11,Steven Brown,Minutemen,P,Minors,No,29,Chapman,-,-,-,0,15,15,15,15,15,15,15,15,15,15,22,29,15,51,50,50,50,60,50,22,22,64,73,56,45,45,45,56,61,51,0,0,0,0,0,0,
2.026E+11,Christopher Lewis,Minutemen,P,Minors,No,19,Miller,Lights Out,-,-,1,15,15,15,15,15,15,15,15,15,15,13,12,15,51,50,50,50,60,50,58,58,60,65,55,54,49,59,62,62,62,0,0,0,0,0,0,
2.026E+11,Richard Gwynn,Minutemen,P,Minors,No,21,Hader,Pitch to Contact,-,-,1,15,15,15,15,15,15,15,15,15,15,22,30,15,51,50,50,50,60,50,41,41,65,64,67,51,47,56,57,56,58,0,0,0,0,0,0,
2.026E+11,James Bonds,Minutemen,P,Minors,No,23,Fingers,Putaway Pitcher,-,-,1,15,15,15,15,15,15,15,15,15,15,18,22,15,51,50,50,50,60,50,47,47,54,48,60,53,52,55,51,53,50,0,0,0,0,0,0,
2.026E+11,David Brown,Minutemen,P,Minors,No,26,Hader,Escape Artist,-,-,1,15,15,15,15,15,15,15,15,15,15,22,30,15,51,50,50,50,60,50,40,40,64,74,54,49,45,53,62,65,60,0,0,0,0,0,0,
2.026E+11,Christopher Harris,Minutemen,P,Minors,No,24,Fingers,-,-,-,0,15,15,15,15,15,15,15,15,15,15,16,18,15,51,50,50,50,60,50,59,59,52,53,52,58,63,54,64,64,64,0,0,0,0,0,0,
2.026E+11,Brandon Lewis,Stormers,CF,1,No,25,Griffey,-,-,-,0,73,77,69,81,91,76,77,68,66,70,78,75,81,73,71,99,71,79,75,81,81,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Joshua Ruth,Stormers,1B,4,No,25,Gehrig,-,-,-,0,77,74,81,84,86,78,88,77,77,77,45,45,45,59,48,66,64,69,66,87,87,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Jackie Clark,Stormers,CF,3,Yes,34,Lofton,-,-,-,0,84,86,83,46,45,48,45,76,78,75,85,85,86,73,85,89,72,57,68,64,64,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Richard Lee,Stormers,SS,8,No,21,Ripken,Clutch,-,-,1,77,74,81,73,76,72,71,66,67,65,45,45,45,69,44,92,81,89,78,75,75,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
2.026E+11,Babe Wilson,Stormers,RF,9,No,23,Ruth,-,-,-,0,75,71,80,87,94,82,86,86,87,86,45,45,45,52,44,54,47,68,64,80,80,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,
